,cookie,time,interaction,conversion,conversion_value,channel
30,000ADEAB7fBin9fEoFFnAohi9,2018-07-17T07:22:43Z,impression,0,0.0,Paid Search
31,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T18:13:47Z,impression,0,0.0,Online Video
32,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T18:14:27Z,impression,0,0.0,Online Video
33,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T19:10:36Z,impression,0,0.0,Online Video
34,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T19:10:43Z,impression,0,0.0,Online Video
35,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T19:10:58Z,impression,0,0.0,Online Video
36,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T19:11:10Z,impression,0,0.0,Online Video
37,000Afi9i930kBkA9EhBDDi9B7,2018-07-14T19:21:58Z,impression,0,0.0,Online Video
38,000BA9hECi3BiBkAifAA7ifA7,2018-07-28T15:40:33Z,impression,0,0.0,Facebook
39,000C9BiBFhoFhC7noEFAA7no7,2018-07-01T15:02:03Z,impression,0,0.0,Online Video
40,000C9BiBFhoFhC7noEFAA7no7,2018-07-01T15:53:27Z,impression,0,0.0,Online Video
41,000C9BiBFhoFhC7noEFAA7no7,2018-07-02T06:39:44Z,impression,0,0.0,Online Video
42,000C9BiBFhoFhC7noEFAA7no7,2018-07-04T10:57:20Z,impression,0,0.0,Online Video
43,000C9BiBFhoFhC7noEFAA7no7,2018-07-04T16:47:15Z,impression,0,0.0,Online Video
44,000C9BiBFhoFhC7noEFAA7no7,2018-07-05T07:00:59Z,impression,0,0.0,Online Video
45,000C9BiBFhoFhC7noEFAA7no7,2018-07-05T15:22:28Z,impression,0,0.0,Online Video
46,000C9BiBFhoFhC7noEFAA7no7,2018-07-09T06:58:48Z,impression,0,0.0,Online Video
47,000C9f9DnCfoDF03BnfFAEFFC,2018-07-11T09:04:18Z,impression,0,0.0,Online Video
48,000C9f9DnCfoDF03BnfFAEFFC,2018-07-17T09:09:01Z,impression,0,0.0,Online Video
49,000C9f9DnCfoDF03BnfFAEFFC,2018-07-17T09:09:49Z,impression,0,0.0,Online Video
50,000C9f9DnCfoDF03BnfFAEFFC,2018-07-19T09:19:39Z,impression,0,0.0,Facebook
51,000C9f9DnCfoDF03BnfFAEFFC,2018-07-26T09:22:14Z,impression,0,0.0,Instagram
52,000CBnkoBDkkfofFh3A3EBFDk,2018-07-09T20:13:17Z,impression,0,0.0,Instagram
53,000Ch3F0DnD0hBk9fFh3hAiki,2018-07-21T17:08:12Z,impression,0,0.0,Paid Search
54,000Ch3F0DnD0hBk9fFh3hAiki,2018-07-29T11:03:21Z,impression,0,0.0,Paid Search
55,000ChDfhfD30FniFBAfo3D73C,2018-07-12T11:58:15Z,impression,0,0.0,Paid Search
56,000ChDfhfD30FniFBAfo3D73C,2018-07-12T11:58:28Z,impression,0,0.0,Paid Search
57,000ChDfhfD30FniFBAfo3D73C,2018-07-30T08:04:27Z,impression,0,0.0,Paid Search
58,000ChDfhfD30FniFBAfo3D73C,2018-07-30T08:04:37Z,impression,0,0.0,Paid Search
59,000Ck9AkfhnBE33ECoC030F0n,2018-07-19T15:33:45Z,impression,0,0.0,Paid Search
60,000Ck9AkfhnBE33ECoC030F0n,2018-07-19T15:33:46Z,impression,0,0.0,Paid Search
61,000D9CBi0Bok9FFF0nAA0FCAi,2018-07-11T09:39:26Z,impression,0,0.0,Paid Search
62,000DBnhEF0kF0ono0D0F3kCC0,2018-07-14T07:14:39Z,impression,0,0.0,Instagram
63,000DBnhEF0kF0ono0D0F3kCC0,2018-07-14T07:14:55Z,impression,0,0.0,Facebook
64,000DfAofCDDi30hhkfDok3o3B,2018-07-03T22:55:13Z,impression,0,0.0,Paid Search
65,000E3n77koFkDC3CBAA7nEhnC,2018-07-14T13:23:55Z,impression,0,0.0,Facebook
66,000ECDfBnAAD0Diok7D9iEECh,2018-07-02T11:56:55Z,impression,0,0.0,Online Video
67,000EEBhoB9kfD73oAiA7AD0Dk,2018-07-05T06:59:03Z,impression,0,0.0,Instagram
68,000Ek3DkDn7AEn77BkiADEEAF,2018-07-18T11:27:32Z,impression,0,0.0,Facebook
69,000Eo7C3n93Dhf9AEn3FFoCAf,2018-07-15T18:47:48Z,impression,0,0.0,Online Video
70,000FDk9hFoDoBCnCkD9fDF3D3,2018-07-15T10:43:43Z,impression,0,0.0,Paid Search
71,000Fh09B3BkknfnCCAFf9fCAA,2018-07-07T16:30:26Z,impression,0,0.0,Online Display
72,000f0nF77Afhf9ho7Aiff0Chh,2018-07-07T18:24:55Z,impression,0,0.0,Paid Search
73,000f0nF77Afhf9ho7Aiff0Chh,2018-07-07T21:16:47Z,impression,0,0.0,Online Video
74,000f0nF77Afhf9ho7Aiff0Chh,2018-07-14T20:31:43Z,impression,0,0.0,Online Video
75,000f0nF77Afhf9ho7Aiff0Chh,2018-07-20T18:16:03Z,impression,0,0.0,Paid Search
76,000f0nF77Afhf9ho7Aiff0Chh,2018-07-20T18:19:24Z,impression,0,0.0,Paid Search
77,000fCfBEk7Ci39iDAn07A3inE,2018-07-06T23:44:06Z,impression,0,0.0,Instagram
78,000ffDFE0f7D9F0hCf37hDfBo,2018-07-26T15:29:38Z,impression,0,0.0,Online Video
79,000ffEnBE079A3B0f0oBi9khE,2018-07-05T11:57:08Z,impression,0,0.0,Paid Search
80,000fhi3BhoFoECEkCECkB7iDk,2018-07-04T09:28:23Z,impression,0,0.0,Paid Search
81,000fhi3BhoFoECEkCECkB7iDk,2018-07-04T09:30:09Z,impression,0,0.0,Paid Search
82,000fhi3BhoFoECEkCECkB7iDk,2018-07-09T13:14:23Z,impression,0,0.0,Paid Search
83,000h3n9nC0hFhE3CCnkkAof7n,2018-07-19T14:31:57Z,conversion,1,6.0,Facebook
84,000hBihC9o30A9fi7BhFDnhn0,2018-07-04T23:13:38Z,impression,0,0.0,Paid Search
85,000hBihC9o30A9fi7BhFDnhn0,2018-07-23T23:01:56Z,impression,0,0.0,Online Display
86,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-07T14:34:54Z,impression,0,0.0,Online Video
87,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-07T14:35:22Z,impression,0,0.0,Online Video
88,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-13T20:21:34Z,impression,0,0.0,Online Video
89,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-13T20:29:35Z,impression,0,0.0,Online Video
90,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-14T17:08:19Z,impression,0,0.0,Online Video
91,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:31:54Z,impression,0,0.0,Online Video
92,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:31:54Z,impression,0,0.0,Online Video
93,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:32:19Z,impression,0,0.0,Online Video
94,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:32:19Z,impression,0,0.0,Online Video
95,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:32:21Z,impression,0,0.0,Online Video
96,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-16T13:32:23Z,impression,0,0.0,Online Video
97,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-18T09:52:44Z,impression,0,0.0,Online Video
98,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-18T09:52:46Z,impression,0,0.0,Online Video
99,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-21T10:40:24Z,impression,0,0.0,Online Video
100,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-21T13:05:55Z,impression,0,0.0,Online Video
101,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-21T13:06:10Z,impression,0,0.0,Online Video
102,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-21T19:47:06Z,impression,0,0.0,Online Video
103,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-22T13:15:06Z,impression,0,0.0,Online Video
104,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-23T19:35:51Z,impression,0,0.0,Online Video
105,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-24T09:50:23Z,impression,0,0.0,Instagram
106,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-24T13:30:57Z,impression,0,0.0,Online Video
107,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-24T13:30:58Z,impression,0,0.0,Online Video
108,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-25T11:15:14Z,impression,0,0.0,Online Video
109,000hCBnCB7oi7ADAEnEBCnBEE,2018-07-25T11:15:16Z,conversion,1,6.5,Online Video
110,000honBFhkFk7i99Af70CBDDA,2018-07-20T19:54:17Z,impression,0,0.0,Paid Search
111,000i03E3BDfh0hk9Ahn0f7oAD,2018-07-10T12:46:42Z,impression,0,0.0,Paid Search
112,000iBADEfCkiok99f79ffAADh,2018-07-12T17:18:15Z,impression,0,0.0,Paid Search
113,000iBADEfCkiok99f79ffAADh,2018-07-12T18:35:32Z,impression,0,0.0,Facebook
114,000iBADEfCkiok99f79ffAADh,2018-07-17T16:14:09Z,impression,0,0.0,Facebook
115,000iknF9no7B0nhhk9AEAFDDF,2018-07-29T22:20:03Z,impression,0,0.0,Online Display
116,000kBC7nCfAnfBonk7fCFD0hB,2018-07-07T14:01:08Z,impression,0,0.0,Paid Search
117,000kFiECFDA030i9B37E9oCBi,2018-07-19T15:37:36Z,impression,0,0.0,Online Video
118,000kFiECFDA030i9B37E9oCBi,2018-07-22T14:21:26Z,impression,0,0.0,Online Video
119,000kfo3A7h0B3FkCi999FA3FA,2018-07-10T14:40:17Z,impression,0,0.0,Facebook
120,000kfo3A7h0B3FkCi999FA3FA,2018-07-10T14:44:40Z,impression,0,0.0,Facebook
121,000kfo3A7h0B3FkCi999FA3FA,2018-07-19T10:50:29Z,impression,0,0.0,Facebook
122,000kfo3A7h0B3FkCi999FA3FA,2018-07-24T13:38:28Z,impression,0,0.0,Facebook
123,000kiDB3D0fCfDAohCDB3ohko,2018-07-15T19:17:09Z,impression,0,0.0,Facebook
124,000kiDB3D0fCfDAohCDB3ohko,2018-07-26T16:16:21Z,conversion,1,7.5,Facebook
125,000kofk7BkBAEhB7k9o9iEC00,2018-07-30T11:05:07Z,impression,0,0.0,Paid Search
126,000kofk7BkBAEhB7k9o9iEC00,2018-07-30T11:05:09Z,impression,0,0.0,Paid Search
127,000n73fiCkA0oA3Fhhf9EFDf3,2018-07-06T21:17:53Z,impression,0,0.0,Online Display
128,000n7hAFhAfAE9Bi70fEnCBfh,2018-07-20T08:03:50Z,impression,0,0.0,Facebook
129,000nFCC0h0F9A9AhF7Aof3kEo,2018-07-15T09:43:49Z,impression,0,0.0,Paid Search
130,000nFCC0h0F9A9AhF7Aof3kEo,2018-07-25T21:52:10Z,impression,0,0.0,Online Video
131,000nFCC0h0F9A9AhF7Aof3kEo,2018-07-29T14:07:14Z,impression,0,0.0,Online Video
132,000o3iC0nhBo7oAFk7Ck070kn,2018-07-23T09:06:24Z,impression,0,0.0,Online Video
133,000o9iFkno739k3no9CCCBC0F,2018-07-15T11:39:17Z,impression,0,0.0,Online Video
134,000o9iFkno739k3no9CCCBC0F,2018-07-15T11:40:21Z,impression,0,0.0,Online Video
135,000o9iFkno739k3no9CCCBC0F,2018-07-15T11:40:31Z,impression,0,0.0,Online Video
136,000oAi09F00D7kB9h9fifh7Fi,2018-07-29T13:58:47Z,impression,0,0.0,Instagram
137,0030DoC7kh039hf9noEnC3770,2018-07-12T13:15:02Z,impression,0,0.0,Online Display
138,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-01T16:11:38Z,impression,0,0.0,Facebook
139,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-07T08:19:30Z,impression,0,0.0,Facebook
140,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-11T12:42:00Z,impression,0,0.0,Facebook
141,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-11T12:42:47Z,impression,0,0.0,Facebook
142,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-13T08:10:13Z,impression,0,0.0,Instagram
143,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-20T09:17:40Z,impression,0,0.0,Instagram
144,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-21T20:27:53Z,impression,0,0.0,Facebook
145,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-22T06:42:13Z,impression,0,0.0,Facebook
146,0030F0fDEkoDBi3hE0hnfBBiC,2018-07-26T08:00:16Z,impression,0,0.0,Instagram
147,0030hifk3fE9fDiCAFD7BCfi0,2018-07-10T19:12:49Z,impression,0,0.0,Paid Search
148,0033Akffn7C737ChCo9DnkoDo,2018-07-09T14:51:08Z,impression,0,0.0,Instagram
149,0033CAi9nhFf0DAA7DDCC3FAn,2018-07-08T09:02:08Z,impression,0,0.0,Online Video
150,0033CAi9nhFf0DAA7DDCC3FAn,2018-07-25T20:43:11Z,impression,0,0.0,Online Video
151,0033CAi9nhFf0DAA7DDCC3FAn,2018-07-25T20:46:15Z,conversion,1,7.0,Online Video
152,0033oBiDhi0i3iFkD9kkBBih7,2018-07-10T11:27:56Z,impression,0,0.0,Paid Search
153,0033oBiDhi0i3iFkD9kkBBih7,2018-07-14T10:18:52Z,impression,0,0.0,Online Display
154,0033oBiDhi0i3iFkD9kkBBih7,2018-07-14T10:19:14Z,impression,0,0.0,Online Display
155,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:19:18Z,impression,0,0.0,Paid Search
156,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:19:37Z,impression,0,0.0,Paid Search
157,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:19:38Z,impression,0,0.0,Paid Search
158,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:22:03Z,impression,0,0.0,Paid Search
159,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:23:38Z,impression,0,0.0,Paid Search
160,0033oBiDhi0i3iFkD9kkBBih7,2018-07-18T10:27:18Z,impression,0,0.0,Paid Search
161,0037773AB7kDkEBoCE9hFDonB,2018-07-25T07:55:56Z,impression,0,0.0,Online Video
162,0037773AB7kDkEBoCE9hFDonB,2018-07-29T20:31:35Z,impression,0,0.0,Online Video
163,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-08T10:58:12Z,impression,0,0.0,Paid Search
164,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-09T10:15:14Z,impression,0,0.0,Paid Search
165,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-09T10:15:16Z,impression,0,0.0,Paid Search
166,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-17T12:39:46Z,impression,0,0.0,Instagram
167,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-17T17:26:00Z,impression,0,0.0,Facebook
168,0037D7FiF0kfkk0Ff7DDF7Eoh,2018-07-17T18:57:59Z,impression,0,0.0,Facebook
169,0037k0CoDkDEkABEBhkhnnEoh,2018-07-08T18:25:27Z,impression,0,0.0,Facebook
170,0037ko7739kCfDfoiEFfi0okh,2018-07-08T12:55:28Z,impression,0,0.0,Paid Search
171,0037ko7739kCfDfoiEFfi0okh,2018-07-08T12:55:52Z,impression,0,0.0,Paid Search
172,0037nhikok99kB0nkDniFh7Eh,2018-07-29T18:38:38Z,impression,0,0.0,Facebook
173,0037ok3iD0h3kkEDCB0nk9iko,2018-07-02T10:06:40Z,impression,0,0.0,Paid Search
174,0037ok3iD0h3kkEDCB0nk9iko,2018-07-04T08:34:33Z,impression,0,0.0,Facebook
175,0037ok3iD0h3kkEDCB0nk9iko,2018-07-05T09:05:36Z,impression,0,0.0,Online Video
176,0037ok3iD0h3kkEDCB0nk9iko,2018-07-05T15:51:57Z,impression,0,0.0,Online Video
177,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:54:56Z,impression,0,0.0,Online Video
178,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:54:56Z,impression,0,0.0,Online Video
179,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:54:57Z,impression,0,0.0,Online Video
180,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:55:46Z,impression,0,0.0,Online Video
181,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:55:46Z,impression,0,0.0,Online Video
182,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:55:47Z,impression,0,0.0,Online Video
183,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:55:49Z,impression,0,0.0,Online Video
184,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:55:49Z,impression,0,0.0,Online Video
185,0037ok3iD0h3kkEDCB0nk9iko,2018-07-11T11:56:07Z,impression,0,0.0,Online Video
186,0037ok3iD0h3kkEDCB0nk9iko,2018-07-12T09:16:05Z,impression,0,0.0,Online Video
187,0037ok3iD0h3kkEDCB0nk9iko,2018-07-12T09:16:06Z,impression,0,0.0,Online Video
188,0037ok3iD0h3kkEDCB0nk9iko,2018-07-12T11:04:19Z,impression,0,0.0,Paid Search
189,0037ok3iD0h3kkEDCB0nk9iko,2018-07-16T10:35:10Z,impression,0,0.0,Online Video
190,0037ok3iD0h3kkEDCB0nk9iko,2018-07-16T10:38:12Z,impression,0,0.0,Online Video
191,0037ok3iD0h3kkEDCB0nk9iko,2018-07-18T09:56:08Z,impression,0,0.0,Online Video
192,0037ok3iD0h3kkEDCB0nk9iko,2018-07-19T08:27:34Z,impression,0,0.0,Facebook
193,0037ok3iD0h3kkEDCB0nk9iko,2018-07-19T08:37:04Z,impression,0,0.0,Online Video
194,0037ok3iD0h3kkEDCB0nk9iko,2018-07-19T08:38:15Z,impression,0,0.0,Online Video
195,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T08:59:14Z,impression,0,0.0,Facebook
196,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T09:14:28Z,impression,0,0.0,Online Video
197,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T09:14:36Z,impression,0,0.0,Online Video
198,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T09:14:37Z,impression,0,0.0,Online Video
199,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T09:14:53Z,impression,0,0.0,Online Video
200,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T09:15:08Z,impression,0,0.0,Online Video
201,0037ok3iD0h3kkEDCB0nk9iko,2018-07-22T15:32:11Z,impression,0,0.0,Facebook
202,0037ok3iD0h3kkEDCB0nk9iko,2018-07-29T15:04:11Z,impression,0,0.0,Facebook
203,0037ok3iD0h3kkEDCB0nk9iko,2018-07-29T15:04:56Z,impression,0,0.0,Facebook
204,003990Dn9fAo0B0EkoAkoh7i3,2018-07-03T13:03:58Z,impression,0,0.0,Paid Search
205,003990Dn9fAo0B0EkoAkoh7i3,2018-07-17T08:37:03Z,impression,0,0.0,Facebook
206,0039Bk0Dnn9ABnh7F37f3B9ff,2018-07-06T18:14:48Z,impression,0,0.0,Facebook
207,0039Bk0Dnn9ABnh7F37f3B9ff,2018-07-27T13:34:14Z,impression,0,0.0,Facebook
208,0039Bk0Dnn9ABnh7F37f3B9ff,2018-07-27T13:40:37Z,impression,0,0.0,Facebook
209,0039C7f0F70fh9ni0AiiBhkDo,2018-07-22T08:32:29Z,impression,0,0.0,Facebook
210,0039FiDn93nnhC7BBkh3hFn33,2018-07-06T19:42:34Z,impression,0,0.0,Online Display
211,0039hAEFAhA3BCB3oAAfi7hDo,2018-07-08T09:14:06Z,impression,0,0.0,Instagram
212,0039k3779iAhEDi9C9noAfohi,2018-07-05T23:21:46Z,impression,0,0.0,Paid Search
213,003ACfff0knf73nhiFn9hfnni,2018-07-22T12:56:38Z,impression,0,0.0,Paid Search
214,003ACfff0knf73nhiFn9hfnni,2018-07-22T12:57:59Z,impression,0,0.0,Paid Search
215,003Aif9oE7Bo3iCnDE9A0DnAo,2018-07-27T16:02:10Z,impression,0,0.0,Online Display
216,003B0Ao7A0ko9E3f7fo99iDAf,2018-07-24T14:00:43Z,impression,0,0.0,Facebook
217,003B309ifDDnBo77khE3ohEhA,2018-07-26T12:28:50Z,impression,0,0.0,Paid Search
218,003BF9BEC977DA9o0C7EEoF7o,2018-07-18T09:35:06Z,impression,0,0.0,Paid Search
219,003CCF0Fo3Ffhfn7nfhDoDhBA,2018-07-21T17:04:44Z,impression,0,0.0,Paid Search
220,003CnEfCB9E39BFFn37okiho0,2018-07-19T15:43:21Z,impression,0,0.0,Facebook
221,003CnEfCB9E39BFFn37okiho0,2018-07-23T09:29:52Z,impression,0,0.0,Facebook
222,003D9ofD9ioEkEk977DfiAki7,2018-07-04T00:27:41Z,impression,0,0.0,Facebook
223,003DAi9n0FAno77k339ih3E99,2018-07-17T14:46:46Z,impression,0,0.0,Paid Search
224,003DAi9n0FAno77k339ih3E99,2018-07-17T14:46:59Z,impression,0,0.0,Paid Search
225,003DDEfE3fnCo970C0oC7n30A,2018-07-19T18:34:44Z,conversion,1,5.0,Online Video
226,003DEAoDo39D7kEk97Ahnh709,2018-07-28T08:51:35Z,impression,0,0.0,Online Display
227,003DnB3FCFF7h7kF93EB0Bnnf,2018-07-04T06:38:11Z,impression,0,0.0,Facebook
228,003DnB3FCFF7h7kF93EB0Bnnf,2018-07-16T13:27:59Z,impression,0,0.0,Paid Search
229,003EE0D0iDBD9hFCfAnEEoAhf,2018-07-08T05:39:41Z,impression,0,0.0,Facebook
230,003EE0D0iDBD9hFCfAnEEoAhf,2018-07-08T05:40:04Z,impression,0,0.0,Instagram
231,003EE0D0iDBD9hFCfAnEEoAhf,2018-07-23T01:00:29Z,impression,0,0.0,Facebook
232,003EFBAEn7BEoii00A7fi9797,2018-07-16T08:46:35Z,impression,0,0.0,Online Display
233,003Ei33fBA0iD79E7hnkEoAC0,2018-07-03T11:05:24Z,impression,0,0.0,Paid Search
234,003EifBEffnChkhDf9BiEEfoh,2018-07-22T14:51:33Z,impression,0,0.0,Facebook
235,003FBikADDh07DFhnffAFhFiC,2018-07-06T20:07:16Z,impression,0,0.0,Online Display
236,003FBikADDh07DFhnffAFhFiC,2018-07-07T09:34:06Z,impression,0,0.0,Online Display
237,003FBikADDh07DFhnffAFhFiC,2018-07-07T11:06:46Z,impression,0,0.0,Instagram
238,003FBikADDh07DFhnffAFhFiC,2018-07-07T15:34:38Z,impression,0,0.0,Facebook
239,003FBikADDh07DFhnffAFhFiC,2018-07-07T20:22:25Z,impression,0,0.0,Facebook
240,003FBikADDh07DFhnffAFhFiC,2018-07-07T20:22:28Z,impression,0,0.0,Instagram
241,003FBikADDh07DFhnffAFhFiC,2018-07-15T20:15:47Z,impression,0,0.0,Facebook
242,003FBikADDh07DFhnffAFhFiC,2018-07-15T20:15:58Z,impression,0,0.0,Facebook
243,003FBikADDh07DFhnffAFhFiC,2018-07-19T15:17:30Z,impression,0,0.0,Paid Search
244,003FBikADDh07DFhnffAFhFiC,2018-07-21T13:39:52Z,impression,0,0.0,Online Display
245,003FBikADDh07DFhnffAFhFiC,2018-07-24T12:49:21Z,impression,0,0.0,Online Video
246,003FBikADDh07DFhnffAFhFiC,2018-07-26T12:36:32Z,impression,0,0.0,Paid Search
247,003FBikADDh07DFhnffAFhFiC,2018-07-29T13:21:06Z,impression,0,0.0,Online Display
248,003FDfkFo9hiADD0iCohDEDoB,2018-07-25T22:23:51Z,impression,0,0.0,Instagram
249,003FfkFABioiFE930fi93hkCD,2018-07-23T15:51:49Z,impression,0,0.0,Facebook
250,003FiBChh7AiiiB7EiEBkEihF,2018-07-20T01:10:27Z,impression,0,0.0,Online Video
251,003FiBChh7AiiiB7EiEBkEihF,2018-07-20T01:11:05Z,impression,0,0.0,Online Video
252,003FiBChh7AiiiB7EiEBkEihF,2018-07-28T11:25:36Z,impression,0,0.0,Paid Search
253,003FiBChh7AiiiB7EiEBkEihF,2018-07-28T11:26:06Z,impression,0,0.0,Paid Search
254,003FnD7i3fAnFFAho37o0knno,2018-07-15T13:48:42Z,impression,0,0.0,Paid Search
255,003f0F9k3737BiFoBn33DnEi0,2018-07-29T12:22:44Z,impression,0,0.0,Instagram
256,003f0nhfn7kFB0AEoBh3CoCkk,2018-07-04T13:38:54Z,impression,0,0.0,Paid Search
257,003fhDDko9Bkfn0iEf3EkEDEB,2018-07-09T11:41:11Z,impression,0,0.0,Online Display
258,003h0of0Bknh93nBk3EfAk0Bf,2018-07-02T20:40:32Z,impression,0,0.0,Paid Search
